"date","indpro","cpiaucsl","unrate","temp"
1948-01-01,14.3274,23.68,3.4,-0.185147255396118
1948-02-01,14.3543,23.67,3.8,2.52174996473788
1948-03-01,14.1931,23.5,4,6.39650672300204
1948-04-01,14.2199,23.82,3.9,14.1749669443158
1948-05-01,14.4618,24.01,3.5,18.2362857787527
1948-06-01,14.65,24.15,3.6,26.6994615146418
1948-07-01,14.65,24.4,3.6,29.9214332744295
1948-08-01,14.5962,24.43,3.9,29.2066503398137
1948-09-01,14.4887,24.36,3.8,20.5009205090905
1948-10-01,14.5963,24.31,3.7,12.4102068527983
1948-11-01,14.4081,24.16,3.8,3.44177494491336
1948-12-01,14.2737,24.05,4,0.844590986599523
1949-01-01,14.1393,24.01,4.3,0.758203210356513
1949-02-01,14.0049,23.91,4.7,1.32650839685849
1949-03-01,13.7361,23.91,5,6.83256952822801
1949-04-01,13.6554,23.92,5.3,12.1618128085099
1949-05-01,13.4673,23.91,6.1,18.0476280688687
1949-06-01,13.4404,23.92,6.2,23.9311123332641
1949-07-01,13.4135,23.7,6.7,29.6047493290986
1949-08-01,13.5479,23.7,6.8,29.0703417547075
1949-09-01,13.6823,23.75,6.6,21.7844657463065
1949-10-01,13.1716,23.67,7.9,11.9698771046901
1949-11-01,13.521,23.7,6.4,4.01591189632298
1949-12-01,13.7629,23.61,6.6,1.22630155846094
1950-01-01,14.0049,23.51,6.5,1.28811211745283
1950-02-01,14.0586,23.61,6.4,2.59427478637372
1950-03-01,14.5156,23.64,6.3,5.48486394647779
1950-04-01,14.9995,23.65,5.8,12.2174585923081
1950-05-01,15.3489,23.77,5.5,17.6758601729559
1950-06-01,15.8059,23.88,5.4,22.9745342362758
1950-07-01,16.3166,24.07,5,30.7297556332447
1950-08-01,16.8274,24.2,4.5,27.6963975473358
1950-09-01,16.7198,24.34,4.4,19.1946734550963
1950-10-01,16.8273,24.5,4.2,11.7860750234229
1950-11-01,16.8005,24.6,4.2,3.56565757314506
1950-12-01,17.0962,24.98,4.3,2.29184725463695
1951-01-01,17.1499,25.38,3.7,1.56838885307714
1951-02-01,17.2575,25.83,3.4,0.939730951533059
1951-03-01,17.3381,25.88,3.4,6.72165577489373
1951-04-01,17.365,25.92,3.1,13.4184347702589
1951-05-01,17.3112,25.99,3,19.9739727452235
1951-06-01,17.2306,25.93,3.2,25.564757270018
1951-07-01,16.9618,25.91,3.1,29.93444856039
1951-08-01,16.8005,25.86,3.1,27.9355712581733
1951-09-01,16.908,26.03,3.3,21.0674577128969
1951-10-01,16.8811,26.16,3.5,11.0115601436327
1951-11-01,17.0155,26.32,3.5,3.23903404294038
1951-12-01,17.123,26.47,3.1,-0.222028673018479
1952-01-01,17.3112,26.45,3.2,1.46994758852413
1952-02-01,17.4187,26.41,3.1,2.5310136799904
1952-03-01,17.4725,26.39,2.9,6.38412403263684
1952-04-01,17.3112,26.46,2.9,13.1335444238744
1952-05-01,17.1499,26.47,3,17.3462841245384
1952-06-01,16.9886,26.53,3,25.6452518756388
1952-07-01,16.7198,26.68,3.2,30.4135252894786
1952-08-01,17.7951,26.69,3.4,28.5589540324319
1952-09-01,18.4402,26.63,3.1,19.764356499902
1952-10-01,18.6284,26.69,3,11.123039402556
1952-11-01,19.0047,26.69,2.8,2.81778747830568
1952-12-01,19.1122,26.71,2.7,1.27068850949865
1953-01-01,19.166,26.64,2.9,-0.279554936727348
1953-02-01,19.2735,26.59,2.6,1.93574736095786
1953-03-01,19.4348,26.63,2.6,7.38514394419513
1953-04-01,19.5154,26.69,2.7,14.3111045124656
1953-05-01,19.6229,26.7,2.5,19.195997992851
1953-06-01,19.5423,26.77,2.5,25.6776883998267
1953-07-01,19.7842,26.79,2.6,30.8980447315575
1953-08-01,19.6767,26.85,2.7,28.1383617366697
1953-09-01,19.2735,26.89,2.9,20.0896175825652
1953-10-01,19.1122,26.95,3.1,9.24164709326654
1953-11-01,18.6553,26.85,3.5,2.11710198227392
1953-12-01,18.1983,26.87,4.5,1.26765699064726
1954-01-01,18.0639,26.94,4.9,0.605293489821779
1954-02-01,18.1176,26.99,5.2,2.626928122296
1954-03-01,18.0101,26.93,5.7,7.76766905255669
1954-04-01,17.9026,26.86,5.9,14.3399728660795
1954-05-01,18.0101,26.93,5.9,17.9515675392829
1954-06-01,18.0639,26.94,5.6,24.1119445355764
1954-07-01,18.0907,26.86,5.8,30.3428718933661
1954-08-01,18.0639,26.85,6,28.6881227145062
1954-09-01,18.0908,26.81,6.1,18.6957846869719
1954-10-01,18.3058,26.72,5.7,12.4592141155517
1954-11-01,18.6015,26.78,5.3,3.67104603316704
1954-12-01,18.8434,26.77,5,0.253424733651488
1955-01-01,19.2735,26.77,4.9,1.491818658189
1955-02-01,19.5154,26.82,4.7,2.27418251640138
1955-03-01,19.9724,26.79,4.6,6.33515511316284
1955-04-01,20.2143,26.79,4.7,11.9696434820003
